"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"資料工程師","廣晉軟體股份有限公司","電腦系統整合服務業","
需求條件：
1.熟SQL，能獨立作業
2.具二年以上相關經驗

主要工作如下：
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ltg0?jobsource=n_my104_search"")"
"資料工程師 Data Engineer","果實夥伴股份有限公司","網際網路相關業","【工作內容 】
-  ETL 之開發、處理(資料清理、儲存、分析)與監測
- 開發與設計專案所需 API 服務並與後端工程師合作，完成系統產品化程序
- 依據不同業務需求，完成建置/維運/更新各式 Data infra 的需求
- 與數據產品管理","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7dpwf?jobsource=n_my104_search"")"
"【數位驅動】資料科學工程師_ 數據管理_I00003122","國泰世華商業銀行股份有限公司_人力資源部","銀行業","【主要職責 Who we are looking for】 
負責企業資料倉儲之數據管理，包含 : 資料市集設計、海內外倉儲ETL批次之開發/維運/監控、倉儲相關數據整合加值運用與分析，提供高品質與有價值的資料分析應用。 
【職務說明 What","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/89ofn?jobsource=n_my104_search"")"
"資料工程師(數據應用部)","永豐金證券股份有限公司","證券及期貨業","析/資料工程相關二年以上工作經驗尤佳

【恰好有以下特質是加分的】
1. 具較強的溝通協調能力和團隊精神，熱愛程式與數據，喜歡研究新技術
2. 樂意跟同事們一起討論打造創新
3. 對大數據平台建置及程式開發有經驗或興趣者
","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ctxn?jobsource=n_my104_search"")"
"EBS 財務系統暨資料倉儲工程師","三井住友海上集團_明台產物保險股份有限公司_數位科技處","產物保險業","1.各項資料蒐集、盤點與管理，持續優化資料品質並執行改善計畫。
2.資料倉儲ETL設計、開發與維護，改善ETL效能並依各營運需求建立DM。
3.針對各類資料應用場景，與使用者進行需求訪談、系統分析與程式開發。
4. 參與新專案資料架構、分析與執行","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7tise?jobsource=n_my104_search"")"
"Data Engineer","睿控網安股份有限公司","電腦軟體服務業","我們正在尋找一位資料工程師，該職位將負責設計和構建資料管道和資料基礎設施，支持公司各種資料分析和財務預測項目的順利進行。您將與資料分析師合作，確保資料的準確性、一致性和高效處理。

職責：
1.	資料集成與ETL流程
	- 設計和實施ETL（提取","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8b9pi?jobsource=n_my104_search"")"
"資料科學工程師 （Data Science R&D）雲原生平台產品開發 - 資料科學研發 (數數發中心, DDT)_I00015788","國泰金控_國泰金融控股股份有限公司","金融控股業","容包括：

Kubernetes、KubeFlow 及 Hadoop 生態系等相關創新技術研究
基於 K8s 及 KubeFlow 技術，研發創新產品
基於 K8s 及 KubeFlow 技術，參與專案開發
數據平台及數據工程相關產品開發（設計/開","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87vo6?jobsource=n_my104_search"")"
"資料工程師(資訊策略發展部)_I00017395","國泰綜合證券股份有限公司","證券及期貨業","【工作內容】
1. 負責Hadoop、Spark相關數據湖open source維運以及優化
2. 數據分析、應用之相關程式(Python)開發
3. 負責Airflow維運
4. ETL數據清洗與數據模型程式維運與開發
5. 資料庫規劃、設計及","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cmdl?jobsource=n_my104_search"")"
"資料工程師","數解人意科技股份有限公司","電腦軟體服務業","及合作夥伴多元，包括媒體、媒體代理商、整合行銷、公關、品牌、電子商務、影視產業、政府單位、學術機構及跨國企業等。


▋職務內容
1. 讀取與寫入自建之全文搜尋引擎、SQL 資料庫
2. 使用 ETL 管理工具如 Airflow，開發 ETL","台北市中山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/85lh8?jobsource=n_my104_search"")"
"數據工程師 【資料分析應用處】","邁達特數位股份有限公司","電腦軟體服務業","1.	因應客戶需求進行資料倉儲/資料超市設計與規劃。
2.	數據收集、盤點與管理。
3.	資料庫效能調教。
4.	數據ETL開發、測試與維護。
5.	利用ETL工具或T-SQL或Stored Procedure開發。

","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/82jky?jobsource=n_my104_search"")"
"後端工程師","聚贏有限公司","網際網路相關業","我們在尋找【具備團隊合作精神、勇於接受挑戰、熱愛學習】的後端工程師，負責開發和管理數據處理後端系統、執行流程自動化與系統優化、並與團隊合作完成產品開發。

這裡有高度自由的辦公環境，期待值得信賴、積極學習的你加入，與我們一起解決複雜且有趣的技術挑戰，推動創新的產品開發！

________________________________________________________________________________________

<工作內容>
1. 開發和管理數據收集與處理相關的後端系統。
2. 參與前後端開發，優化資料傳遞與資料處理。
3. 負責工作流程的自動化、流程優化和性能調整。
4. 優化現有產品功能並進行日常維護。
5. 與技術領導合作，執行程式設計任務。


<必要條件>
1. 熟悉 Linux 系統操作。
2. 有架設伺服器，及設定代理、負載平衡、緩衝、緩存等經驗。
3. 精通 Python 與 PHP 開發。
4. 具備 SQL / NoSQL 資料庫的實務經驗（如 MySQL、Redis、MongoDB）。


<加分條件>
1. 具數位行銷經驗者優先，如 SEO、流量創建、轉換優化、A/B 測試等。
2. 具前端技術的實務經驗，如 HTML5、CSS3、JavaScript (ES6+) 及現代 JavaScript 框架（如 React、Vue.js）。
3. 具 Laravel 專案/產品開發經驗，擅長Laravel框架。
4. 有使用容器技術（如 Docker, Kubernetes）的實際經驗。
5. 熟悉 CI/CD流程和工具，具備自動化實務經驗。
6. 對人工智慧技術充滿熱情，積極學習並緊跟行業趨勢。","台北市中正區","月薪40,000~65,000元","=HYPERLINK(""http:////www.104.com.tw/job/8flaz?jobsource=hotjob_chr"")"
"數據ETL/資料分析師","昇恒昌股份有限公司","其他零售業","工作內容:
1 設計和建立資料分析報告和資料儀表板，
2.提供資訊視覺化及說明分析。
3.運用統計概念與資料驅動思維，收集和清理各類型資料，並設計資料分析方法，建立相關資料應用。
4.跨系統資料梳理及資料倉儲整合(ETL)應用(SSIS、","台北市內湖區","月薪40,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/878sb?jobsource=n_my104_search"")"
"資料工程師 / 數據服務架構師","玉山綜合證券股份有限公司","證券及期貨業","1. 資料倉儲管理與數據中心建置與管理
2. 負責資料蒐集及處理各項數據、資料建模、ETL 流程設計及演算法開發
3. 運用常見的 ML 或是 AI 演算法建立行銷、風險管理和流程自動化等應用服務
4. 進行數據應用與串接之需求訪談
5. 營運事","台北市松山區","月薪35,000~40,000元","=HYPERLINK(""http:////www.104.com.tw/job/889qn?jobsource=n_my104_search"")"
"數據工程師Data Engineer","統一資訊股份有限公司","電腦系統整合服務業","效能精進有興趣之人才，與我們攜手打造貼近客戶運用之數據服務。

【工作內容】
1. 熟悉資料倉儲與數據湖概念，進行數據清洗、資料整備等相關數據轉換與整合。
2. 熟悉數據工程的ETL流程，處理數據開發、自動化、測試、監控、佈署等相關技術解決方案。","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/4bma8?jobsource=n_my104_search"")"
"資料助理工程師","廣晉軟體股份有限公司","電腦系統整合服務業","
需要條件：
1.具SQL基本能力
2.資管相關科系【應屆畢可、具高度學習意願】

主要工作內容：
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、","台北市內湖區","月薪32,000~38,000元","=HYPERLINK(""http:////www.104.com.tw/job/8761m?jobsource=n_my104_search"")"
"【資訊部】資料工程師(Data Engineer)","台灣知識庫股份有限公司","數位內容產業","1.負責數據管理，ETL流程規劃，以及資料分析所需之數據源預處理。
2.處理及挑戰Data相關工程問題，包括建立data pipeline、探勘收集處理。
3.管理數據庫（資料表日常維護及更新）、資料提取、資料倉儲。
4.建立自動化工具和腳本，簡","台北市中正區","月薪40,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/7ck9p?jobsource=n_my104_search"")"
"資料工程師","圖靈數位股份有限公司","其它軟體及網路相關業","行銷判讀，運營，轉化方面的戰略支持與技術方法。成員大多是技術工程師組成，協助客戶收集有用的數據，了解數據，利用數據。

目前是 Google Marketing Platform、Mixpanel、AB Tasty 認證合作夥伴。

公司福利：
・","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7v0e3?jobsource=n_my104_search"")"
"D4000廣告平台資料工程師","富邦媒體科技股份有限公司(富邦momo)","百貨相關業","設計，並協助開發滿足廣告業務發展相關的需求
2. 優化系統 Data Pipeline 處理海量用戶與廣告事件，提供即時且高效率的 OLAP 系統
3. 與演算法工程師與資料分析師協作開發廣告引擎模型與競價引擎
4. 關聯式與非關聯式資料庫的 DB","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8dbr3?jobsource=n_my104_search"")"
"ETL 工程師 (PS2A0)","資拓宏宇國際股份有限公司","電腦軟體服務業","績效獎金系統開發

1.熟悉MS SQL的操作
2.熟悉TSQL語法
3.熟悉ETL工具(會Trinity、Greenplum尤佳)
4.熟悉Git使用方式
5.邏輯推理能力良好
6.具有資料分析經驗、細心、負責","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8erqb?jobsource=n_my104_search"")"
"資料工程師 (台北)","雲端達人科技股份有限公司","電腦軟體服務業","1.熟悉資料 ETL 流程的規劃、設計、開發與維護

2.具備 PL/SQL 經驗

3.熟悉Oracle DB

4.具備Trinity經驗(nice to have) 

5.資料品質之監控與管理

6.具有資料分析經驗、細心","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/82ksp?jobsource=n_my104_search"")"
"資料工程師-情報系統二team【全家便利商店關係企業】","精藤股份有限公司","電腦系統整合服務業","

職務內容如下：
1.	管理／維運數據中台，負責數據的蒐集、交換、儲存、清理，執行ETL作業，把關資料正確性與品質。
2.	製作BI儀錶板，供使用者檢視經營指標。
3.	協助建置數據治理環境與制度。
4.	配合資料分析相關作業，並對需求者簡報。
5.","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/84xyg?jobsource=n_my104_search"")"
"【系統規劃部數據整合系統科】數據工程師","台新人壽保險股份有限公司_總公司","人身保險業","1.數據蒐集處理及ETL流程設計開發與維護，並針對數據倉儲相關應用(ex:數據標籤)進行開發及維護。
2.Power BI或報表工具維運及優化，並配合專案針對既有報表進行整合及轉換。
3.優化數據架構設計及導入相關技術及工具(如數據治理、數據字典","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ipku?jobsource=n_my104_search"")"
"[ Python ] Senior Data Engineer 資料工程師  #Data & AI  #ACT台灣敏捷大賞獎2024","炬識科技股份有限公司","其它軟體及網路相關業"," Streaming Platform 等。
- 有 ETL 或資料分析案之專案經驗。
- 樂於與團隊互動、與客戶合作，並回應變化，願意了解客戶產業的領域知識以開發可用的軟體。
- 認同溝通的雙向性，職務內所需之訊息主動聽取、提出必要問題以正確理解，不依靠","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7kabt?jobsource=n_my104_search"")"
"資料分析工程師 Analytics Engineer (Data) [RD]","酷遊天股份有限公司","旅遊服務業","財務等。
 

【我們期待你具備】
1. 具備 2 年以上在資料領域擔任資料分析師、資料工程師或同等職位。
2. 能直接面對需求單位，具備細心、耐心、清晰的邏輯思維與簡報能力。
3. 熟悉 Python/SQL 開發資料操作與分析程式能力，並具有","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8aott?jobsource=n_my104_search"")"
"DataStage ETL 數據工程師","一騰資訊服務股份有限公司","電腦軟體服務業"," 熟悉Python語法
4. 具備Teradata或其他資料倉儲管理及開發經驗
5. 具備ETL邏輯梳理、規劃、及文件產出能力","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/80o7m?jobsource=n_my104_search"")"
"資料工程師","關貿網路股份有限公司","電腦系統整合服務業","1.Hadoop-based應用系統開發維護及專案支援。
2.巨量資料處理及ETL架構規劃及開發。
3.熟悉java，會R或Python撰寫分析演算法程式尤佳。","台北市南港區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/4ftgq?jobsource=n_my104_search"")"
"資料工程師 Data Engineer【聯想感】","股感資訊股份有限公司","網際網路相關業","1. 收集和整合各種資料來源，建立高效的資料架構。
2. 設計和實現數據管道和 ETL 流程。
3. 實現數據庫的優化和管理。
4. 解決數據處理中出現的問題。","台北市松山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8fxa1?jobsource=n_my104_search"")"
"ETL Developer","加林軟體科技有限公司","電腦軟體服務業"," experience as an ETL developer (Informatica Power Designer).
• Proficiency in warehousing architecture techniques, including MOLAP,","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8bmww?jobsource=n_my104_search"")"
"數據工程師","中國化學製藥股份有限公司","藥品製造業","1.數據處理 - 建立資料倉儲、資料湖，ETL 工具與流程 
2.數據串接 - 協助串接內外部資料，應用資料 
3.系統優化 - 程式碼與文件維護、效能優化
~熟悉視覺化軟體如 Tableau, Power BI 者加分~

","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a8zz?jobsource=n_my104_search"")"
"C#程式設計師(WPF)","寶醫科技股份有限公司","電腦軟體服務業","我們重視每一位同仁，同事之間相處活潑友善， 
有良好工作環境，也提供學習及成長空間。 
我們非常期待樂在工作，對自己的技術有自信、對工作發展有企圖心的人， 
誠摯的邀請並歡迎您的加入。 

--------------------------------------------------------------------------------------- 

職 務 內 容 
· C#程式設計(WPF)
· 微軟資料庫(MSSQL)
· 相關技術文件撰寫
· 定期開會進度報告 

優 勢 特 色 
· UI/UX設計有專人處理 
· 沒有加班文化 
· 年終獎金
· 專案獎金

適合做事細心的人
※本公司特別注重誠信以及營業秘密。
※業務上會碰到許多營業秘密以及隱私資料，須提供良民證。","台北市大同區","月薪40,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/8bv4y?jobsource=hotjob_chr"")"
"資料工程師(Data Integration Engineer)","鑫享科技有限公司","電腦軟體服務業","我們正在尋找一位對數據領域有熱情的資料整合工程師，加入我們的團隊。
此職位將負責設計、開發和維護數據整合解決方案，確保公司數據的有效整合和應用。

主要職責：
1. 設計和實施數據整合架構和流程，以確保數據從不同來源的有效收集、轉換和加載（ETL","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cq87?jobsource=n_my104_search"")"
"台灣總部 - DTS Data Engineer (資料工程師)","必勝客Pizza Hut/肯德基KFC_富利餐飲股份有限公司","其他餐飲業"," efficiency.
開發：建立、維護及優化資料管道和資料庫。確保資料品質和效率。
•	Maintenance: Monitor data systems, perform backups, and keep databases up-to-","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/899dl?jobsource=n_my104_search"")"
"【系統規劃部數據整合系統科】數據工程師","台新人壽保險股份有限公司_總公司","人身保險業","1.數據蒐集處理及ETL流程設計開發與維護，並針對數據倉儲相關應用(ex:數據標籤)進行開發及維護。
2.Power BI或報表工具維運及優化，並配合專案針對既有報表進行整合及轉換。
3.優化數據架構設計及導入相關技術及工具(如數據治理、數據字典","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ipku?jobsource=n_my104_search"")"
"資料工程師","翰霖科技資訊股份有限公司","電腦軟體服務業","【必要技能】

☑️ 負責TeraData資料庫遷移
☑️ 具備系統設計經驗3年以上經驗
☑️ 具備系統流程整合能力 MS Synapse、SQL server procedure 
☑️ 具備1年系統流程整合能力Azure資料管線開發經驗
☑️","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8csqc?jobsource=n_my104_search"")"
"FinTech資料工程師(台北)【BU68-FHA】","敦陽科技股份有限公司","電腦系統整合服務業","1. 國際FinTech金融科技軟體系統的導入建置、測試及維護
2. 與國外軟體工程師共同解決軟體系統相關問題
3. 金融系統整合之客製化軟體開發，例如：數據資料處理、AI模型建置
4. FinTech金融科技技術、產品研究，例如：洗錢防制(","台北市內湖區","月薪30,000~70,000元","=HYPERLINK(""http:////www.104.com.tw/job/4bs41?jobsource=n_my104_search"")"
"[台北] BI Team Lead","金上晉科技股份有限公司","金屬表面處理及熱處理業","1. BI Team相關專案管理及人員培訓。
2. 使用者訪談與需求分析(有製造業ERP基礎，熟鼎新Workflow、鼎捷E10尤佳)。
3. 跨系統資料梳理及資料倉儲整合(ETL)應用(SSIS、T-SQL、Store Procedure、","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8gdg3?jobsource=n_my104_search"")"
"數據分析工程師","南山產物保險股份有限公司","產物保險業","1. 企業資料倉儲需求分析及文件撰寫
2. 報表設計開發
3. SAP BW系統維運及優化
","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7xzxx?jobsource=n_my104_search"")"
"資料倉儲專案主管(內湖總公司)","昇恒昌股份有限公司","其他零售業","1.主導數據倉儲改建專案及專案管理
2.Data Warehouse之導入、建置、管理
3.具有ETL、Data model設計能力
4.具有Teradata經驗者佳
5.跨部門溝通數據相關事務","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8excp?jobsource=n_my104_search"")"
"數據工程師","中國化學製藥股份有限公司","藥品製造業","1.數據處理 - 建立資料倉儲、資料湖，ETL 工具與流程 
2.數據串接 - 協助串接內外部資料，應用資料 
3.系統優化 - 程式碼與文件維護、效能優化
~熟悉視覺化軟體如 Tableau, Power BI 者加分~

","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a8zz?jobsource=n_my104_search"")"
"資料工程師/後端工程師_13309","和碩集團_和碩聯合科技股份有限公司","電腦及其週邊設備製造業","減少開發時程，使用簡易清楚的操作介面進行效能監控與資料分析。
目前團隊主要負責資料工程、後端工程、DevOps與生成式AI四大領域，經過幾年的經驗累積，已在公司內部建立了許多成功的案例及數據分析系統。

本次職缺為 資料工程師&後端工程師
本團隊常","台北市北投區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8dnj3?jobsource=n_my104_search"")"
"【顧問部】顧問師/高級顧問師/副理(資料工程顧問)-317317","KPMG_安侯建業聯合會計師事務所","會計服務業","1.協助客戶進行需求分析、外部數據整合應用、資料清理設計與商業分析(BI)規劃
2.協助客戶進行資料市集(Data Mart)規劃、資料清理(ETL)程式開發與商業智慧(BI)建置","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6zvmn?jobsource=n_my104_search"")"
"ETL軟體工程師","雙子數位科技有限公司","電腦軟體服務業","嗨～～哈囉～

你是本公司要找的ETL資料倉儲高手嗎?
就是你！別懷疑！！徵的就是你～
本公司需要有在ETL數據實務上2-3年以上開發經驗的你唷～

此職缺的職務內容有：

• 收集需求和業務流程知識，以便將資料轉換為方式，以滿足最終用戶的需求。","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/758vi?jobsource=n_my104_search"")"
"【ETL】數據工程師","綠色遊戲有限公司","電腦軟體服務業","1、參與資料庫的設計和實施工作； 
2、負責專案中資料處理相關的大量腳本開發與報表開發工作；
3、負責測試、投產以及投產演練過程中的資料移轉工作。","台北市大安區","年薪600,000~1,800,000元","=HYPERLINK(""http:////www.104.com.tw/job/8cuxs?jobsource=n_my104_search"")"
"【研究發展處】Big Data Engineer 資料工程師 / Senior Big Data Engineer 資深資料工程師","現觀科技股份有限公司","電腦軟體服務業","Dashboard Visualization，並與產品開發團隊進行資料探勘及研究。

[工作內容]
1.開發大數據系統資料處理平台
2.串流資料平行處理程序開發,熟悉分散式運算,平行運算
3.解決大量資料處理時所衍生的效能,擴充與維護維運資料庫","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7bdqr?jobsource=n_my104_search"")"
"後端軟體工程師","滾石移動股份有限公司","網際網路相關業","(1)依業務/PM需求開發應用軟體, 維護Qport及CMS系統，並持續優化並增加功能及串接平台服務
(2)管理資料庫/資料倉儲,與數據工程師合作, 搭建大數據資料分析與應用服務
(3)熟悉並掌握 AWS 服務/架構, 應用於 Backend 服","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a4tl?jobsource=n_my104_search"")"
"資料工程師","普匯金融科技股份有限公司","電腦軟體服務業","式語言，能撰寫stored procedure程序，SQL校能調校。
2. 熟ETL工具運用，懂Talend工具佳。
3. 懂E-R model，熟SQL語法，了解程式端ORM建模。
4. 知悉MongoDB，懂json及XML結構，能做資料清洗及","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/682xq?jobsource=n_my104_search"")"
"Data Engineer/ 資料工程師","文境資科股份有限公司","專門設計相關業","Data Engineer/ 資料工程師
1.資料稽核(Data Auditing)、收集(Data Collection)、整合作業(Data Integration) 等資料分析前處理作業，有MS Sqlserver資料庫經驗尤佳
2.會撰寫","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7g1tw?jobsource=n_my104_search"")"
